点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
868,10kV,10kV2062电容器,2062电容器保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,2062网络通讯正常,2062网络通讯正常
869,10kV,10kV2071电容器,2071电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2071过流Ⅰ段动作（速断）,2071过流Ⅰ段动作（速断）
870,10kV,10kV2071电容器,2071电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2071过流Ⅱ段动作（过流）,2071过流Ⅱ段动作（过流）
871,10kV,10kV2071电容器,2071电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2071过电压动作,2071过电压动作
872,10kV,10kV2071电容器,2071电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2071低电压动作,2071低电压动作
873,10kV,10kV2071电容器,2071电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2071不平衡电压1动作,2071不平衡电压1动作
874,10kV,10kV2071电容器,2071电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2071不平衡电压2动作,2071不平衡电压2动作
875,10kV,10kV2071电容器,2071电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2071装置报警,2071装置报警
876,10kV,10kV2071电容器,2071电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2071PT断线,2071PT断线
877,10kV,10kV2071电容器,2071开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2071控制回路断线,2071控制回路断线
878,10kV,10kV2071电容器,2071开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,2071弹簧未储能,2071弹簧未储能
879,10kV,10kV2071电容器,2071电容器保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,2071测控屏远方/就地,2071测控屏远方/就地
880,10kV,10kV2071电容器,2071电容器保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,2071投低电压保护,2071投低电压保护
881,10kV,10kV2071电容器,2071电容器保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,2071信号复归开入,2071信号复归开入
882,10kV,10kV2071电容器,2071电容器保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,2071装置检修,2071装置检修
883,10kV,10kV2071电容器,2071开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2071储能电源跳闸,2071储能电源跳闸
884,10kV,10kV2071电容器,2071开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2071加热回路故障,2071加热回路故障
885,10kV,10kV2071电容器,2071电容器保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,2071网络通讯正常,2071网络通讯正常
886,10kV,10kV2072电容器,2072电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2072过流Ⅰ段动作（速断）,2072过流Ⅰ段动作（速断）
887,10kV,10kV2072电容器,2072电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2072过流Ⅱ段动作（过流）,2072过流Ⅱ段动作（过流）
888,10kV,10kV2072电容器,2072电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2072过电压动作,2072过电压动作
889,10kV,10kV2072电容器,2072电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2072低电压动作,2072低电压动作
890,10kV,10kV2072电容器,2072电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2072不平衡电压1动作,2072不平衡电压1动作
891,10kV,10kV2072电容器,2072电容器保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2072不平衡电压2动作,2072不平衡电压2动作
892,10kV,10kV2072电容器,2072电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2072装置报警,2072装置报警
893,10kV,10kV2072电容器,2072电容器保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2072PT断线,2072PT断线
894,10kV,10kV2072电容器,2072开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2072控制回路断线,2072控制回路断线
895,10kV,10kV2072电容器,2072开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,2072弹簧未储能,2072弹簧未储能
896,10kV,10kV2072电容器,2072电容器保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,2072测控屏远方/就地,2072测控屏远方/就地
897,10kV,10kV2072电容器,2072电容器保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,2072投低电压保护,2072投低电压保护
898,10kV,10kV2072电容器,2072电容器保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,2072信号复归开入,2072信号复归开入
899,10kV,10kV2072电容器,2072电容器保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,2072装置检修,2072装置检修
900,10kV,10kV2072电容器,2072开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2072储能电源跳闸,2072储能电源跳闸
901,10kV,10kV2072电容器,2072开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2072加热回路故障,2072加热回路故障
902,10kV,10kV2072电容器,2072电容器保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,2072网络通讯正常,2072网络通讯正常
903,10kV,10kV245分段,245分段保护,二次设备,变位,,,PSCADA退出/投入,软压板,是,10kV备投245自投投入,10kV备投245自投投入
904,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,10kV备投245自投跳电源1-201,10kV备投245自投跳电源1-201
905,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,10kV备投245自投跳电源2-202,10kV备投245自投跳电源2-202
906,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,10kV备投245自投合分段245,10kV备投245自投合分段245
907,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,10kV备投245充电保护动作,10kV备投245充电保护动作
908,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV备投245装置报警,10kV备投245装置报警
909,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV备投245自投总闭锁,10kV备投245自投总闭锁
910,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV备投245I母PT断线,10kV备投245I母PT断线
911,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV备投245II母PT断线,10kV备投245II母PT断线
912,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,10kV备投245自投方式3充电,10kV备投245自投方式3充电
913,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA放电/已充电,一般遥信,是,10kV备投245自投方式4充电,10kV备投245自投方式4充电
914,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,245短充保护过流动作,245短充保护过流动作
915,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,245短充保护零序动作,245短充保护零序动作
916,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,245长充保护过流一段动作,245长充保护过流一段动作
917,10kV,10kV245分段,245分段保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,245长充保护零序一段动作,245长充保护零序一段动作
918,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,245独立充电保护装置报警,245独立充电保护装置报警
919,10kV,10kV245分段,245开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,245控制回路断线,245控制回路断线
920,10kV,10kV245分段,245开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,245弹簧未储能,245弹簧未储能
921,10kV,10kV245分段,245开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,245储能电源跳闸,245储能电源跳闸
922,10kV,10kV245分段,245开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,245开关室加热器动作,245开关室加热器动作
923,10kV,10kV245分段,245开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,245电缆室加热器动作,245电缆室加热器动作
924,10kV,10kV245分段,245开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,245开关室/电缆室加热器故障,245开关室/电缆室加热器故障
1051,110kV,公用间隔,GPS电源,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,GPS电源消失,GPS电源消失
1052,110kV,公用间隔,GPS电源,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,GPS电源异常,GPS电源异常
1053,110kV,公用间隔,35kV接地选线装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV接地选线装置掉电报警,35kV接地选线装置掉电报警
1054,110kV,公用间隔,35kV接地谐振装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV接地谐振告警,35kV接地谐振告警
1055,110kV,公用间隔,35kV接地选线装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV接地选线装置故障告警,35kV接地选线装置故障告警
1056,110kV,公用间隔,10kV接地选线装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV接地选线装置掉电报警,10kV接地选线装置掉电报警
1057,110kV,公用间隔,10kV接地谐振装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV接地谐振告警,10kV接地谐振告警
1058,110kV,公用间隔,10kV接地选线装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV接地选线装置故障告警,10kV接地选线装置故障告警
1059,110kV,公用间隔,辅助控制系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,消防报警,消防报警
1060,110kV,公用间隔,故障录波器装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#故录启动,1#故录启动
1061,110kV,公用间隔,故障录波器装置,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,1#故录故障,1#故录故障
1062,110kV,公用间隔,故障录波器装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#故录启动,2#故录启动
1063,110kV,公用间隔,故障录波器装置,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#故录故障,2#故录故障
1064,10kV,10kV208站用变,10kV208站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,208-0站变投入,208-0站变投入
1065,10kV,10kV208站用变,10kV208站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,208-0温控器故障,208-0温控器故障
1066,10kV,10kV208站用变,10kV208站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,208-0高温报警,208-0高温报警
1067,10kV,10kV208站用变,10kV208站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,208-0超高温报警,208-0超高温报警
1068,10kV,10kV209站用变,10kV209站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,209-0站变投入,209-0站变投入
1069,10kV,10kV209站用变,10kV209站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,209-0温控器故障,209-0温控器故障
1070,10kV,10kV209站用变,10kV209站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,209-0高温报警,209-0高温报警
1071,10kV,10kV209站用变,10kV209站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,209-0超高温报警,209-0超高温报警
1072,380V,交直流间隔,交流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,交流屏进线空开跳闸,交流屏进线空开跳闸
1073,380V,交直流间隔,交流系统,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,馈线开关跳闸,馈线开关跳闸
1074,380V,交直流间隔,UPS,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,UPS失压,UPS失压
1075,10kV,10kV208站用变,10kV208站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,208-0交流屏失压,208-0交流屏失压
1076,10kV,10kV209站用变,10kV209站用变,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,209-0交流屏失压,209-0交流屏失压
1077,10kV,10kV4母线,10kV4母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,24-9PT断线,24-9PT断线
1078,10kV,10kV4母线,10kV4母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,24-9PT加热回路故障,24-9PT加热回路故障
1079,10kV,10kV5母线,10kV5母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,25-9PT断线,25-9PT断线
1080,10kV,10kV5母线,10kV5母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,25-9PT加热回路故障,25-9PT加热回路故障
1081,35kV,35kV4母线,35kV4母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,34-9PT断线,34-9PT断线
1084,35kV,35kV4母线,35kV4母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,34-9PT加热回路故障,34-9PT加热回路故障
1086,35kV,35kV5母线,35kV5母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,35-9PT断线,35-9PT断线
1089,35kV,35kV5母线,35kV5母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,35-9PT加热回路故障,35-9PT加热回路故障
1091,110kV,110kV4母线,110kV4母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,4-9PT保护回路断线,4-9PT保护回路断线
1092,110kV,110kV4母线,110kV4母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,4-9PT计量回路断线,4-9PT计量回路断线
1093,110kV,110kV5母线,110kV5母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,5-9PT保护回路断线,5-9PT保护回路断线
1094,110kV,110kV5母线,110kV5母PT,电压互感器,异常,,,PSCADA复归/告警,主设备异常告警,是,5-9PT计量回路断线,5-9PT计量回路断线
1095,380V,交直流间隔,UPS,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,UPS直流故障,UPS直流故障
1096,380V,交直流间隔,UPS,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,UPS交流故障,UPS交流故障
1097,380V,交直流间隔,UPS,辅助设备,异常,,,PSCADA复归/告警,辅设备故障告警,是,UPS故障,UPS故障
1098,380V,交直流间隔,UPS,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,UPS逆变异常,UPS逆变异常
1099,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测2#线路-110kV储能1#接地,直流屏接地监测2#线路-110kV储能1#接地
1100,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测4#线路-110kV控制1#接地,直流屏接地监测4#线路-110kV控制1#接地
1101,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测5#线路-UPS电源接地,直流屏接地监测5#线路-UPS电源接地
1102,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测6#线路-35kV控制1#接地,直流屏接地监测6#线路-35kV控制1#接地
1103,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测7#线路-10kV控制1#接地,直流屏接地监测7#线路-10kV控制1#接地
1104,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测9#线路-保护屏1#电源接地,直流屏接地监测9#线路-保护屏1#电源接地
1105,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测11#线路-电度表屏电源接地,直流屏接地监测11#线路-电度表屏电源接地
1106,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测13#线路-110KV控制2#接地,直流屏接地监测13#线路-110KV控制2#接地
1107,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测14#线路-110kV储能2#接地,直流屏接地监测14#线路-110kV储能2#接地
1108,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测15#线路-35kV控制2#接地,直流屏接地监测15#线路-35kV控制2#接地
1109,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测16#线路-10kV控制2#接地,直流屏接地监测16#线路-10kV控制2#接地
1110,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测21#线路-室外检修电源接地,直流屏接地监测21#线路-室外检修电源接地
1111,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测22#线路-保护屏2#电源接地,直流屏接地监测22#线路-保护屏2#电源接地
1112,380V,交直流间隔,直流屏接地监测,辅助设备,异常,,,PSCADA复归/告警,辅设备异常告警,是,直流屏接地监测23#线路-室外110kV刀闸控制电源接地,直流屏接地监测23#线路-室外110kV刀闸控制电源接地
1113,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流311接地,35kV小电流311接地
1114,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流313接地,35kV小电流313接地
1115,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流315接地,35kV小电流315接地
1116,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流317接地,35kV小电流317接地
1117,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流312接地,35kV小电流312接地
1118,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流314接地,35kV小电流314接地
1119,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流316接地,35kV小电流316接地
1120,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流318接地,35kV小电流318接地
1121,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流35kV-4#母线接地,35kV小电流35kV-4#母线接地
1122,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV小电流35kV-5#母线接地,35kV小电流35kV-5#母线接地
1123,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV接地告警,35kV接地告警
1124,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流151接地,10kV小电流151接地
1125,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流153接地,10kV小电流153接地
1126,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流155接地,10kV小电流155接地
1127,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流157接地,10kV小电流157接地
1128,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流159接地,10kV小电流159接地
1129,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流161接地,10kV小电流161接地
1130,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流150接地,10kV小电流150接地
1131,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流165接地,10kV小电流165接地
1132,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流2061接地,10kV小电流2061接地
1133,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流2062接地,10kV小电流2062接地
1134,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流152接地,10kV小电流152接地
1135,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流154接地,10kV小电流154接地
1136,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流156接地,10kV小电流156接地
1137,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流158接地,10kV小电流158接地
1138,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流162接地,10kV小电流162接地
1139,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流164接地,10kV小电流164接地
1140,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流160接地,10kV小电流160接地
1141,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流168接地,10kV小电流168接地
1142,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流2071接地,10kV小电流2071接地
1143,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流2072接地,10kV小电流2072接地
1144,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流10kV4#母线接地,10kV小电流10kV4#母线接地
1145,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV小电流10kV5#母线接地,10kV小电流10kV5#母线接地
1146,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,10kV接地告警,10kV接地告警
1147,110kV,公用间隔,公用测控1n,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,公用测控1n网络通讯正常,公用测控1n网络通讯正常
1148,110kV,公用间隔,公用测控9n,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,公用测控9n网络通讯正常,公用测控9n网络通讯正常
1149,110kV,公用间隔,公用测控8n,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,公用测控8n网络通讯正常,公用测控8n网络通讯正常
1150,110kV,1号主变公用,1号主变高压测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变测控1网络通讯正常,#1主变测控1网络通讯正常
1151,110kV,1号主变公用,1号主变中压测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变测控2网络通讯正常,#1主变测控2网络通讯正常
1152,110kV,1号主变公用,1号主变低压测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变测控3网络通讯正常,#1主变测控3网络通讯正常
1153,110kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变非电量网络通讯正常,#1主变非电量网络通讯正常
1154,110kV,2号主变公用,2号主变高压测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变测控1网络通讯正常,#2主变测控1网络通讯正常
1155,110kV,2号主变公用,2号主变中压测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变测控2网络通讯正常,#2主变测控2网络通讯正常
1156,110kV,2号主变公用,2号主变低压测控,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变测控3网络通讯正常,#2主变测控3网络通讯正常
1157,110kV,2号主变公用,2号主变非电量保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变非电量网络通讯正常,#2主变非电量网络通讯正常
1158,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,110kV备投145网络通讯正常,110kV备投145网络通讯正常
1159,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,35kV备投345网络通讯正常,35kV备投345网络通讯正常
1160,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,10kV备投245网络通讯正常,10kV备投245网络通讯正常
1161,10kV,10kV245分段,245分段保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,10kV充电保护245网络通讯正常,10kV充电保护245网络通讯正常
1162,380V,交直流间隔,直流屏,辅助设备,异常,,,PSCADA恢复/中断,辅设备异常告警,是,直流屏网络通讯正常,直流屏网络通讯正常
1163,380V,交直流间隔,直流屏,辅助设备,异常,,,PSCADA恢复/中断,辅设备异常告警,是,直流屏接地监测网络通讯正常,直流屏接地监测网络通讯正常
1164,110kV,公用间隔,35kV小电流接地选线,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,35kV小电流网络通讯正常,35kV小电流网络通讯正常
1165,110kV,公用间隔,10kV小电流接地选线,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,10kV小电流网络通讯正常,10kV小电流网络通讯正常
1166,110kV,1号主变公用,1号主变保护I,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变保护I网络通讯正常,#1主变保护I网络通讯正常
1167,110kV,1号主变公用,1号主变保护II,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变保护II网络通讯正常,#1主变保护II网络通讯正常
1168,110kV,2号主变公用,2号主变保护I,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变保护I网络通讯正常,#2主变保护I网络通讯正常
1169,110kV,2号主变公用,2号主变保护II,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变保护II网络通讯正常,#2主变保护II网络通讯正常
1170,110kV,1号主变公用,1号主变低周保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#1主变低周减载网络通讯正常,#1主变低周减载网络通讯正常
1171,110kV,2号主变公用,2号主变低周保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,#2主变低周减载网络通讯正常,#2主变低周减载网络通讯正常
1172,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,110kV备自投闭锁自投1,110kV备自投闭锁自投1
1173,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,110kV备自投闭锁自投2,110kV备自投闭锁自投2
1174,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,110kV备自投闭锁自投3,110kV备自投闭锁自投3
1175,110kV,110kV145分段,145分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,110kV备自投闭锁自投4,110kV备自投闭锁自投4
1176,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV备自投闭锁自投3,35kV备自投闭锁自投3
1177,35kV,35kV345分段,345分段保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,35kV备自投闭锁自投4,35kV备自投闭锁自投4
